Artist,Title,Year,Sales,Streams,Rating
"Mario","Let Me Love You",2005,15454,6488,0.553
"Enigma","Sadeness",1991,15434,3203,1.838
"Snap","Rhythm is a Dancer",1992,15425,4969,0.625
"Alanis Morissette","Ironic",1996,15413,7026,1.580
"Lionel Richie","Hello",1984,15404,4976,0.534
"Bon Jovi","Livin' On a Prayer",1987,15359,7376,1.500
"Enrique Iglesias","Hero",2001,15357,3132,1.041
"Timbaland & Keri Hilson","The Way I Are",2007,15331,4,0.511
"Frank Sinatra","Five Minutes More",1946,15313,7014,0.531
"Vanessa Carlton","A Thousand Miles",2002,15298,5843,2.214
"Al Jolson","Swanee",1920,15297,11348,0.700
"Van Halen","Jump",1984,15285,8589,1.037
"Peter Gabriel","Sledgehammer",1986,15285,9577,0.519
"Fifth Dimension","Aquarius/Let The Sunshine In",1969,15255,17696,0.750
"Roxette","The Look",1989,15202,5297,1.529
"Sixpence None The Richer","Kiss Me",1999,15161,6535,1.885
"Irene Cara","Fame",1980,15159,9656,0.523
"Tommy James & the Shondells","Crimson & Clover",1969,15147,9722,0.571
"Fine Young Cannibals","She Drives Me Crazy",1989,15136,8177,1.284
"Michael Jackson","Don't Stop 'Til You Get Enough",1979,15097,866,0.583
"The Bangles","Eternal Flame",1989,15055,5757,1.600
"Santana","Maria Maria",2000,15047,5383,1.105
"Captain & Tennille","Love Will Keep Us Together",1975,15023,12171,0.553
"Billy Ocean","Get Outta My Dreams Get Into My Car",1988,14964,3943,0.519
"Perez Prado","Cherry Pink & Apple Blossom White",1955,14946,6834,0.750
"Ini Kamoze","Here Comes the Hotstepper",1995,14945,5688,1.082
"Pee Wee Hunt","12th Street Rag",1948,14914,7483,0.527
"Kool & The Gang","Celebration",1981,14896,11837,0.532
"The Platters","Only You (And You Alone)",1955,14896,7475,0.750
"Exile","Kiss You All Over",1978,14886,6619,0.559
"The Kinks","Lola",1970,14883,9343,0.510
"All Saints","Never Ever",1998,14858,3085,1.061
"The Four Seasons","December 1963 (Oh What a Night)",1976,14855,9985,0.591
"Tears For Fears","Everybody Wants to Rule the World",1985,14851,7249,1.058
"Al Dexter & his Troopers","Pistol Packin' Mama",1943,1485,12552,0.512
"Snap","The Power",1990,1485,5336,1.725
"Richard Marx","Right Here Waiting",1989,14833,4628,2.605
"Pat Boone","Love Letters in the Sand",1957,14828,5767,0.524
"The Rolling Stones","Brown Sugar",1971,1481,11564,0.514
"Akon","Smack That",2006,14786,4819,1.065
"Nat King Cole","Nature Boy",1948,14779,1142,0.577
"Paul & Paula","Hey Paula",1963,14733,689,0.517
"Kingsmen","Louie Louie",1963,14729,14762,0.524
"The Manhattans","Kiss & Say Goodbye",1976,14716,8724,0.529
"Three Dog Night","Joy to the World",1971,14698,17042,0.554
"Olivia Newton-John & Electric Light Orchestra","Xanadu",1980,14679,3123,0.563
"Elvis Presley","Can't Help Falling in Love",1962,14678,982,0.514
"Marvin Gaye","I Heard it Through the Grapevine",1968,14667,18924,0.517
"Red Hot Chili Peppers","Under the Bridge",1992,14666,9033,1.037
"The Beatles","The Ballad of John & Yoko",1969,14548,4931,0.530
"The Beatles","Can't Buy Me Love",1964,14537,9156,0.621
"Dean Martin","Memories Are Made of This",1956,14534,6002,0.517
"Neil Young","Heart of Gold",1972,1451,121,0.511
"Jennifer Lopez","Love Don't Cost a Thing",2001,14506,2725,2.053
"The Scissor Sisters","I Don't Feel Like Dancin'",2006,14483,739,1.567
"Jive Bunny & The Mastermixers","Swing the Mood",1989,14475,2365,1.645
"Madonna","Who's That Girl?",1987,14472,4557,0.534
"Tom Jones","She's a Lady",1971,14451,8347,0.527
"Extreme","More Than Words",1991,14439,6428,2.136
"Nancy Sinatra & Frank Sinatra","Somethin' Stupid",1967,14435,9342,0.600
"Right Said Fred","I'm Too Sexy",1991,14435,5774,2.278
"Creedence Clearwater Revival","Proud Mary",1969,14429,14752,0.556
"U2","Hold Me, Thrill Me, Kiss Me, Kill Me",1995,14425,2692,0.750
"Glenn Miller","Moonlight Serenade",1939,1442,8578,0.553
"Crash Test Dummies","Mmm Mmm Mmm Mmm",1994,14409,485,1.031
"Creedence Clearwater Revival","Up Around the Bend",1970,14394,8352,0.513
"Rihanna","Disturbia",2008,1439,6568,0.611
"Elton John","Something About the Way You look Tonight",1997,14361,4245,1.115
"Bobby Goldsboro","Honey",1968,1434,10858,0.541
"Eminem","Just Lose It",2004,1434,3613,1.864
"Chicago","Hard to Say I'm Sorry",1982,14326,661,0.545
"Isaac Hayes","Theme From 'Shaft'",1971,14282,16298,0.537
"B J Thomas","Raindrops Keep Falling On My Head",1970,14278,15294,0.625
"John Fred & The Playboy Band","Judy in Disguise (With Glasses)",1968,14277,8776,0.526
"Billy Joel","The River of Dreams",1993,14258,4591,2.091
"Joan Osborne","One of Us",1996,14232,5863,1.277
"Lisa Stansfield","All Around the World",1990,14214,4917,1.752
"Alannah Myles","Black Velvet",1990,14211,6642,1.170
"Beyonce","If I Were a Boy",2008,1421,349,0.522
"Trini Lopez","If I Had a Hammer",1963,14199,3651,0.521
"Roberta Flack","The First Time Ever I Saw Your Face",1972,14173,12846,0.750
"Crazy Frog","Axel F",2005,14161,127,0.522
"Dire Straits","Money For Nothing",1985,14152,8594,1.072
"Francis Craig","Near You",1947,14148,11845,0.542
"Frankie Avalon","Venus",1959,14123,5272,0.527
"The Commodores","Three Times a Lady",1978,14117,7108,0.537
"Glenn Miller","Chattanooga Choo Choo",1941,1411,11936,0.577
"Mariah Carey","Vision of Love",1990,14106,7617,2.846
"Tony Orlando & Dawn","Knock Three Times",1971,14103,9117,0.531
"Amii Stewart","Knock On Wood",1979,14081,7975,0.510
"Les Paul & Mary Ford","How High the Moon",1951,14081,15149,0.559
"Percy Faith","The Song From Moulin Rouge (Where Is Your Heart)",1953,14057,1018,0.567
"Abba","The Winner Takes it All",1980,14052,5582,0.533
"The Carpenters","(They Long to Be) Close to You",1970,14029,14331,0.534
"Frankie Valli","Grease",1978,13997,8189,0.550
"Rihanna","SOS (Rescue Me)",2006,13991,5772,1.083
"Chris de Burgh","The Lady in Red",1986,13982,3534,0.833
"The Beatles","Strawberry Fields Forever",1967,13968,8999,0.643
